lag_days,n_splits,chunk,start_period,end_period,n_quarters,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,hit_rate,n_days,mean_ic,ic_std,pct_positive_ic,n_ic_quarters
45,2,0,2015-09-30,2020-12-31,22,0.5403242206035213,0.08195707026203225,0.1454382333770376,0.5635180540839269,-0.2165158474883927,0.540520984081042,1383,0.045123974234902595,0.10582619261227051,0.5909090909090909,22
45,2,1,2021-03-31,2026-03-31,21,0.2045616533520218,0.03625382743067962,0.17859723646562517,0.20299209633995338,-0.24827409825748892,0.5178435839028094,1318,-0.01316738955831292,0.09821959381803431,0.5238095238095238,21
45,3,0,2015-09-30,2019-03-31,15,0.27237558678312523,0.06663543395401916,0.09231356849534458,0.7218379165721409,-0.07742496210264582,0.5377258235919234,942,0.044011746871578473,0.07370578237428606,0.6,15
45,3,1,2019-06-30,2022-09-30,14,-0.05736432768750954,-0.016737044548248092,0.1775405637954156,-0.09427166496741896,-0.2775143037784461,0.5079365079365079,883,-0.01011501195592612,0.141918218766963,0.42857142857142855,14
45,3,2,2022-12-31,2026-03-31,14,0.5537631139027943,0.13499285059907717,0.20091941136069258,0.6718756026849821,-0.20656217153378087,0.5427594070695553,878,0.014117586910898159,0.0900416478789827,0.6428571428571429,14
60,2,0,2015-09-30,2020-09-30,21,-0.04794031623555173,-0.009335051834650776,0.16961014025606913,-0.05503828851598831,-0.3337043292666747,0.5204545454545455,1321,0.023266418462804403,0.17729901548674315,0.6190476190476191,21
60,2,1,2020-12-31,2025-12-31,21,0.3856181238273704,0.06434414594910987,0.17423714172381916,0.36929064212440343,-0.3428895988843025,0.5349013657056145,1319,0.008584928722983146,0.13985322054882848,0.7142857142857143,21
60,3,0,2015-09-30,2018-12-31,14,0.03647514262219609,0.010323766838080006,0.12817986808714257,0.08054125029260784,-0.20424503062348487,0.5187713310580204,880,0.03477347565950412,0.12642303117948378,0.6428571428571429,14
60,3,1,2019-03-31,2022-06-30,14,-0.3072185675304543,-0.09945038053284938,0.20852085385289873,-0.47693254029645765,-0.5539179822449136,0.5198187995469988,884,-0.035701817336404505,0.21695666965241472,0.5714285714285714,14
60,3,2,2022-09-30,2025-12-31,14,0.842394651796396,0.19218309202080075,0.16918293199178974,1.135948465712411,-0.1255042824109066,0.545662100456621,877,0.048705362455581706,0.1056553725154869,0.7857142857142857,14
90,2,0,2015-09-30,2020-09-30,21,-0.10805476813153514,-0.02156168305284145,0.1645090860172875,-0.13106682174731452,-0.3303324623639682,0.5393343419062028,1323,0.0052032857240708425,0.15028453068388614,0.6190476190476191,21
90,2,1,2020-12-31,2025-12-31,21,0.7785546094891111,0.11656808286480236,0.17893505345716443,0.6514547072393939,-0.30120322439105196,0.5250759878419453,1317,0.04127170853580865,0.12179457066018896,0.6666666666666666,21
90,3,0,2015-09-30,2018-12-31,14,0.04206925744053458,0.01187049091942205,0.12079772937929038,0.09826750039440006,-0.24114036940313377,0.5420454545454545,881,0.027421930106606478,0.11141322900706736,0.6428571428571429,14
90,3,1,2019-03-31,2022-06-30,14,-0.19814454770226475,-0.06114422527706265,0.20528827912689993,-0.2978456711562478,-0.38024013168880133,0.5215419501133787,883,-0.020486999472001534,0.16605693963864493,0.6428571428571429,14
90,3,2,2022-09-30,2025-12-31,14,0.904172367922573,0.20380294789502118,0.17831941677203814,1.1429094575581802,-0.1600410818817487,0.5337142857142857,876,0.06277756075521429,0.12194157759820833,0.6428571428571429,14
